image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
139 0 1 65 52 1 1.74 0 0.7954545454545454 1 0.6585575866668645
139 0 2 61 35 0 1.74 0 0.5725806451612904 0 0.4964907938104723
139 1 1 50 39 1 1.74 0 0.7745098039215687 1 0.6585575866668645
139 1 2 56 32 0 1.74 0 0.5701754385964912 0 0.4964907938104723
140 0 1 65 26 1 2.97 0 0.4015151515151515 1 0.6744907269920501
140 0 2 61 21 0 2.97 0 0.3467741935483871 0 0.4217350971648704
140 1 1 50 34 1 2.97 0 0.6764705882352942 1 0.6744907269920501
140 1 2 56 11 0 2.97 0 0.2017543859649122 0 0.4217350971648704
141 0 1 65 23 0 3.12 0 0.3560606060606061 0 0.2991524264748813
141 0 2 61 42 1 3.12 0 0.6854838709677419 1 0.6560156297287142
141 1 1 50 18 0 3.12 0 0.3627450980392157 0 0.2991524264748813
141 1 2 56 46 1 3.12 0 0.8157894736842105 1 0.6560156297287142
142 0 1 65 36 0 3.22 0 0.553030303030303 0 0.3046322636065127
142 0 2 61 47 1 3.22 0 0.7661290322580645 1 0.6578205371640125
142 1 1 50 22 0 3.22 0 0.4411764705882353 0 0.3046322636065127
142 1 2 56 48 1 3.22 0 0.8508771929824561 1 0.6578205371640125
149 0 1 65 20 0 3.02 0 0.3106060606060606 0 0.4690959696486714
149 0 2 61 29 1 3.02 0 0.4758064516129032 1 0.6802258229810297
149 1 1 50 13 0 3.02 0 0.2647058823529412 0 0.4690959696486714
149 1 2 56 26 1 3.02 0 0.4649122807017544 1 0.6802258229810297
152 0 1 65 26 0 1.38 0 0.4015151515151515 0 0.5133027772869891
152 0 2 61 42 1 1.38 0 0.6854838709677419 1 0.6563070282828296
152 1 1 50 17 0 1.38 0 0.3431372549019608 0 0.5133027772869891
152 1 2 56 32 1 1.38 0 0.5701754385964912 1 0.6563070282828296
154 0 1 65 44 0 2.88 0 0.6742424242424242 0 0.420508761483375
154 0 2 61 45 1 2.88 0 0.7338709677419355 1 0.641960157511304
154 1 1 50 26 0 2.88 0 0.5196078431372549 0 0.420508761483375
154 1 2 56 40 1 2.88 0 0.7105263157894737 1 0.641960157511304
155 0 1 65 48 1 1.73 0 0.7348484848484849 1 0.7375658453208292
155 0 2 61 35 0 1.73 0 0.5725806451612904 0 0.6206683933327892
155 1 1 50 38 1 1.73 0 0.7549019607843137 1 0.7375658453208292
155 1 2 56 42 0 1.73 0 0.7456140350877193 0 0.6206683933327892
