trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
41 155 2 1 0 0 25 400 1.71 0 1
42 155 2 1 0 0 8 125 7.28 1 1
43 155 2 1 0 0 15 226 3.2 0 1
44 155 2 1 0 0 17 258 2.89 0 1
45 155 2 1 0 0 3 33 2.97 0 1
46 155 2 1 0 0 20 318 2.58 0 1
47 155 2 1 0 0 30 471 2.73 0 1
48 155 2 1 0 0 20 308 2.2 0 1
49 155 2 1 0 0 3 47 3.05 0 1
50 155 2 1 0 0 4 50 2.73 0 1
51 155 2 1 0 0 1 9 2.49 0 1
52 155 2 1 0 0 9 141 3.12 0 1
53 155 2 1 0 0 13 207 3.11 0 1
54 155 2 1 0 0 10 154 2.88 0 1
55 155 2 1 0 0 9 142 3.22 0 1
56 155 2 1 0 0 2 26 2.76 0 1
57 155 2 1 0 0 15 238 3.31 0 1
58 155 2 1 0 0 9 129 3.25 0 1
59 155 2 1 0 0 18 279 1.97 0 1
60 155 2 1 0 0 29 456 1.5 0 1
61 155 2 1 0 0 25 400 1.71 0 1
62 155 2 1 0 0 4 50 2.73 0 1
63 155 2 1 0 0 6 86 8.01 1 1
64 155 2 1 0 0 7 107 7.11 1 1
65 155 2 1 0 0 20 318 2.58 0 1
66 155 2 1 0 0 17 261 2.14 0 1
67 155 2 1 0 0 4 60 2.6 0 1
68 155 2 1 0 0 18 287 2.19 0 1
69 155 2 1 0 0 13 206 3.41 0 1
70 155 2 1 0 0 29 452 1.8 0 1
71 155 2 1 0 0 24 382 6.86 1 1
72 155 2 1 0 0 28 447 7.79 1 1
73 155 2 1 0 0 3 42 2.84 0 1
74 155 2 1 0 0 20 314 1.94 0 1
75 155 2 1 0 0 30 466 2.9 0 1
76 155 2 1 0 0 30 467 1.95 0 1
77 155 2 1 0 0 2 24 2.31 0 1
78 155 2 1 0 0 1 4 3.18 0 1
79 155 2 1 0 0 10 149 3.02 0 1
80 155 2 1 0 0 17 269 2.8 0 1
81 155 2 1 0 0 15 227 2.67 0 1
82 155 2 1 0 0 25 391 1.73 0 1
83 155 2 1 0 0 15 226 3.2 0 1
84 155 2 1 0 0 4 62 2.95 0 1
85 155 2 1 0 0 2 29 2.68 0 1
86 155 2 1 0 0 20 308 2.2 0 1
87 155 2 1 0 0 1 3 3.17 0 1
88 155 2 1 0 0 29 459 1.82 0 1
89 155 2 1 0 0 3 33 2.97 0 1
90 155 2 1 0 0 25 385 1.43 0 1
91 155 2 1 0 0 10 152 1.38 0 1
92 155 2 1 0 0 7 99 7.24 1 1
93 155 2 1 0 0 18 284 1.92 0 1
94 155 2 1 0 0 23 365 6.57 1 1
95 155 2 1 0 0 8 125 7.28 1 1
96 155 2 1 0 0 13 202 3.09 0 1
97 155 2 1 0 0 28 445 7.58 1 1
98 155 2 1 0 0 30 471 2.73 0 1
99 155 2 1 0 0 17 258 2.89 0 1
100 155 2 1 0 0 3 47 3.05 0 1
101 155 2 1 0 0 4 50 2.73 0 1
102 155 2 1 0 0 20 308 2.2 0 1
103 155 2 1 0 0 3 47 3.05 0 1
104 155 2 1 0 0 17 269 2.8 0 1
105 155 2 1 0 0 8 125 7.28 1 1
106 155 2 1 0 0 18 284 1.92 0 1
107 155 2 1 0 0 28 447 7.79 1 1
108 155 2 1 0 0 2 29 2.68 0 1
109 155 2 1 0 0 3 42 2.84 0 1
110 155 2 1 0 0 17 261 2.14 0 1
111 155 2 1 0 0 29 459 1.82 0 1
112 155 2 1 0 0 6 86 8.01 1 1
113 155 2 1 0 0 30 471 2.73 0 1
114 155 2 1 0 0 10 149 3.02 0 1
115 155 2 1 0 0 9 129 3.25 0 1
116 155 2 1 0 0 4 60 2.6 0 1
117 155 2 1 0 0 13 207 3.11 0 1
118 155 2 1 0 0 2 24 2.31 0 1
119 155 2 1 0 0 13 206 3.41 0 1
120 155 2 1 0 0 24 382 6.86 1 1
121 155 2 1 0 0 29 456 1.5 0 1
122 155 2 1 0 0 4 62 2.95 0 1
123 155 2 1 0 0 28 445 7.58 1 1
124 155 2 1 0 0 9 141 3.12 0 1
125 155 2 1 0 0 15 238 3.31 0 1
126 155 2 1 0 0 30 466 2.9 0 1
127 155 2 1 0 0 25 400 1.71 0 1
128 155 2 1 0 0 18 287 2.19 0 1
129 155 2 1 0 0 13 202 3.09 0 1
130 155 2 1 0 0 20 318 2.58 0 1
131 155 2 1 0 0 10 152 1.38 0 1
132 155 2 1 0 0 15 227 2.67 0 1
